rule_id,topic,rule_text,applies_to,status
APR-001,Approval requirement,Certain procedures and treatments require approval before service so coverage and medical necessity can be confirmed.,General training use,Approved
APR-002,Emergency approval,No prior approval is needed for genuine emergency treatment but prompt post-admission notification is still required.,General training use,Approved
APR-003,Room and board approval,Room and board under Remedy 02 requires prior approval from the insurance company.,REMEDY_02,Extracted
APR-004,Room and board approval,Room and board under Remedy 03 requires prior approval from the insurance company.,REMEDY_03,Extracted
APR-005,MRI pre-approval,Elective MRI under Remedy 02 requires pre-approval from the insurance company.,REMEDY_02,Approved
APR-006,MRI pre-approval,Elective MRI under Remedy 03 requires pre-approval from the insurance company.,REMEDY_03,Approved
APR-R03-007,Physiotherapy pre-approval,Physiotherapy under Remedy 03 requires pre-approval from the insurance company.,REMEDY_03,Extracted
APR-R03-008,Prescribed drugs pre-approval,Prescribed drugs exceeding certain thresholds under Remedy 03 require pre-approval.,REMEDY_03,Extracted
APR-R03-009,Elective CT and endoscopy pre-approval,Elective CT scan and endoscopy under Remedy 03 require pre-approval from the insurance company.,REMEDY_03,Extracted
APR-R03-010,Prenatal outpatient pre-approval,Prenatal outpatient services under Remedy 03 require pre-approval from the insurance company.,REMEDY_03,Extracted
APR-R03-011,Non-urgent inpatient pre-approval,Non-urgent inpatient admission under Remedy 03 requires pre-approval from the insurance company.,REMEDY_03,Extracted
APR-R03-012,Elective IP outside UAE pre-approval,Elective inpatient treatment outside the UAE under Remedy 03 is subject to prior approval.,REMEDY_03,Extracted
APR-R04-004,Room and board approval,Room and board under Remedy 04 requires prior approval from the insurance company.,REMEDY_04,Extracted
APR-R04-006,MRI pre-approval,Elective MRI under Remedy 04 requires pre-approval from the insurance company.,REMEDY_04,Approved
APR-R04-007,Physiotherapy pre-approval,Physiotherapy under Remedy 04 requires pre-approval from the insurance company.,REMEDY_04,Extracted
APR-R04-008,Prescribed drugs pre-approval,Prescribed drugs exceeding certain thresholds under Remedy 04 require pre-approval.,REMEDY_04,Extracted
