internal_plan_code,display_plan_name,source_filename,section,benefit_name,coverage,notes
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,general,Pre-existing & Chronic Conditions Subject to Medical Application Form (MAF),"Covered up to a limit of AED 150,000 per member per year",
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,general,Claims Settlement Basis (After application of Copayments),Direct Billing Available. Reimbursement is also possible but will be settled at 80% of the usual & customary rates of the selected Network.,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,general,Life Threatening Emergency case within the area of coverage (to be notified within 24 hours of treatment if in a non-network provider),100% of incurred costs,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,general,"Cover within the scope of territory, for Elective and Emergency","When treatment received for emergency, accident or illnesses first arising after leaving U.A.E. whilst traveling on business or vacation for a maximum of 90 to 150 days within the geographical area, the country actual reasonable and customary prices will apply to inpatient and out -patient services.",
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,Room & Board,Private,Private
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,"Tests, diagnosis, treatments and surgeries for Non-urgent cases Pre-approval is required for this benefit.",Covered,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,Cash Indemnity for In-Patient hospitalizations that are not submitted to the Insurance Company,Covered on Reimbursement up to AED 250 per night and a maximum of 10 nights. The Cash Indemnity claim must be submitted within 15 days after discharge from the hospital with a proof of hospitalization including a discharge summary.,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,Parent Accommodation for child under 16 years of age,Covered up to AED 300 / night,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,The cost of accommodating a person accompanying an in-patient in the same room in cases of medical necessity at the recommendation of the treating doctor and after the prior approval of the insurance,Covered up to AED 300 / night,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,inpatient,Emergency road ambulance services to and from hospital by registered ambulance services provider,100% Covered,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,outpatient,"Examination, diagnostic and treatment by authorized general practitioners, specialist, and consultants. (Will not be applicable for follow-up visits within 7 days from the same treatment and with the ",20% up to AED 50/-,0
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,outpatient,Laboratory tests carried out in authorized facility,Hospital : Covered up to ABL with 20% Co Insurance on all OP Services - Clinics : Covered up to ABL with Nil Co Insurance,Hospital : Covered up to ABL with 20% Co Insurance on all OP Services - Clinics : Covered up to ABL with Nil Co Insurance
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,outpatient,"Radiology diagnostic services carried out in authorized facility. (Pre- approval required for Elective MRI, CT scans, Endoscopies)",Hospital : Covered up to ABL with 20% Co Insurance on all OP Services - Clinics : Covered up to ABL with Nil Co Insurance,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,outpatient,Physiotherapy Pre-approval is required for this benefit (as per policy conditions),20 sessions per member per annum,20 sessions per member per annum
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,outpatient,Prescribed Drugs and Medicines,"Covered up to AED 10,000/- with 10% Co Insurance (Branded)","Covered up to AED 10,000/- with 10% Co Insurance (Branded)"
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,preventive,Essential vaccinations and inoculations,Essential vaccinations and inoculations for newborns and children as stipulated in the DHAs policies and its updates in the assigned facilities (currently the same as Federal MOH) are covered,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,preventive,"Diabetes screening (Frequency restricted to: Diabetes: Every 3 years from age 30, High risk individuals annually from age 18)","Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,preventive,Adult Pneumococcal Conjugate Vaccine,"Covered as per terms, conditions and exclusions of the program defined by DHA",
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,preventive,Influenza Vaccine,Covered once per annum“Limited to the cost of the vaccine and its administration only”,
HN_CLASSIC_2R,Classic Plan-2R,MR.HUSSEIN 1R@.xlsx,preventive,Shingrix Vaccine (For NLSB members DXB visa holders),Covered only for members satisfying the eligibility criteria set by DHA. Limited to the cost of the vaccine and its administration only.,
