benefit_id,plan_id,plan_name,benefit_name,coverage,notes
BEN-PR-101,REMEDY_03,NGI Healthnet – Remedy 03,Essential vaccinations and inoculations,Covered up to AED 100 for newborn and child vaccinations as stipulated by DHA and MOH guidance,Curated from Remedy 03 extract.
BEN-PR-102,REMEDY_03,NGI Healthnet – Remedy 03,Preventive services vaccines and immunizations,Covered,Curated from Remedy 03 extract.
BEN-PR-103,REMEDY_03,NGI Healthnet – Remedy 03,Adult pneumococcal conjugate vaccine,Covered,Eligibility: Dubai Visa members only. Curated from Remedy 03 extract.
BEN-PR-104,REMEDY_03,NGI Healthnet – Remedy 03,Influenza vaccine,Covered once per year limited to vaccine and administration cost,Eligibility: Dubai Visa members only. Curated from Remedy 03 extract.
BEN-PR-105,REMEDY_03,NGI Healthnet – Remedy 03,Shingrix vaccine,Covered for eligible members as defined by DHA and limited to vaccine and administration cost,Eligibility: Non-LSB Dubai Visa members only. Note: Subject to DHA eligibility criteria. Curated from Remedy 03 extract.
BEN-PR-201,REMEDY_04,NGI Healthnet – Remedy 04,Essential vaccinations and inoculations,Covered up to AED 100 for newborn and child vaccinations as stipulated by DHA and MOH guidance,Curated from Remedy 04 extract.
BEN-PR-202,REMEDY_04,NGI Healthnet – Remedy 04,Preventive services vaccines and immunizations,Covered,Curated from Remedy 04 extract.
BEN-PR-203,REMEDY_04,NGI Healthnet – Remedy 04,Adult pneumococcal conjugate vaccine,Covered,Eligibility: Dubai Visa members only. Curated from Remedy 04 extract.
BEN-PR-204,REMEDY_04,NGI Healthnet – Remedy 04,Influenza vaccine,Covered once per year limited to vaccine and administration cost,Eligibility: Dubai Visa members only. Curated from Remedy 04 extract.
BEN-PR-205,REMEDY_04,NGI Healthnet – Remedy 04,Shingrix vaccine,Covered for eligible members as defined by DHA and limited to vaccine and administration cost,Eligibility: Non-LSB Dubai Visa members only. Note: Subject to DHA eligibility criteria. Curated from Remedy 04 extract.
BEN-PR-301,REMEDY_05,NGI Healthnet – Remedy 05,Essential vaccinations and inoculations,Covered up to AED 100 for newborn and child vaccinations as stipulated by DHA and MOH guidance,Curated from Remedy 05 extract.
BEN-PR-302,REMEDY_05,NGI Healthnet – Remedy 05,Preventive services vaccines and immunizations,Covered,Curated from Remedy 05 extract.
BEN-PR-303,REMEDY_05,NGI Healthnet – Remedy 05,Adult pneumococcal conjugate vaccine,Covered,Eligibility: Dubai Visa members only. Curated from Remedy 05 extract.
BEN-PR-304,REMEDY_05,NGI Healthnet – Remedy 05,Influenza vaccine,Covered once per year limited to vaccine and administration cost,Eligibility: Dubai Visa members only. Curated from Remedy 05 extract.
benefit_id,plan_id,plan_name,benefit_name,coverage,notes
BEN-PR-001,REMEDY_02,REMEDY 02,Essential vaccinations and inoculations,Covered up to AED 100 for newborn and child vaccinations as stipulated by DHA and MOH guidance,Curated from Remedy 02 extract.
BEN-PR-002,REMEDY_02,REMEDY 02,Preventive services vaccines and immunizations,Covered,Curated from Remedy 02 extract.
BEN-PR-003,REMEDY_02,REMEDY 02,Adult pneumococcal conjugate vaccine,Covered,Eligibility: Dubai Visa members only. Curated from Remedy 02 extract.
BEN-PR-004,REMEDY_02,REMEDY 02,Influenza vaccine,Covered once per year limited to vaccine and administration cost,Eligibility: Dubai Visa members only. Curated from Remedy 02 extract.
