benefit_id,plan_id,plan_name,benefit_name,coverage,notes
BEN-ISA-101,REMEDY_03,NGI Healthnet – Remedy 03,Medical expenses benefits,Emergency medical evacuation USD 50,000; emergency medical repatriation USD 50
BEN-ISA-102,REMEDY_03,NGI Healthnet – Remedy 03,Travel expenses benefits,Loss of passport/documents USD 500; luggage loss per kg up to 40kg USD 30; luggage delay over 4 hours USD 500; flight delay over 4 hours USD 500; trip cancellation per flight USD 500; trip curtailment USD 500. Curated from Remedy 03 extract.,
BEN-ISA-103,REMEDY_03,NGI Healthnet – Remedy 03,Medical and travel assistance complimentary services,Telemedicine, medical provider referral
BEN-ISA-201,REMEDY_04,NGI Healthnet – Remedy 04,Medical expenses benefits,Emergency medical evacuation USD 50,000; emergency medical repatriation USD 50
BEN-ISA-202,REMEDY_04,NGI Healthnet – Remedy 04,Travel expenses benefits,Loss of passport/documents USD 500; luggage loss per kg up to 40kg USD 30; luggage delay over 4 hours USD 500; flight delay over 4 hours USD 500; trip cancellation per flight USD 500; trip curtailment USD 500. Curated from Remedy 04 extract.,
BEN-ISA-203,REMEDY_04,NGI Healthnet – Remedy 04,Medical and travel assistance complimentary services,Telemedicine, medical provider referral
BEN-ISA-301,REMEDY_05,NGI Healthnet – Remedy 05,Medical expenses benefits,Emergency medical evacuation USD 50,000; emergency medical repatriation USD 50
BEN-ISA-302,REMEDY_05,NGI Healthnet – Remedy 05,Travel expenses benefits,Loss of passport/documents USD 500; luggage loss per kg up to 40kg USD 30; luggage delay over 4 hours USD 500; flight delay over 4 hours USD 500; trip cancellation per flight USD 500; trip curtailment USD 500. Curated from Remedy 04 extract.,
BEN-ISA-303,REMEDY_05,NGI Healthnet – Remedy 05,Medical and travel assistance complimentary services,Telemedicine, medical provider referral
benefit_id,plan_id,plan_name,benefit_name,coverage,notes
BEN-ISA-001,REMEDY_02,REMEDY 02,Medical expenses benefits,Emergency medical evacuation USD 50,000; emergency medical repatriation USD 50
BEN-ISA-002,REMEDY_02,REMEDY 02,Travel expenses benefits,Loss of passport/documents USD 500; luggage loss per kg up to 40kg USD 30; luggage delay over 4 hours USD 500; flight delay over 4 hours USD 500; trip cancellation per flight USD 500; trip curtailment USD 500. Curated from Remedy 02 extract.,
BEN-ISA-003,REMEDY_02,REMEDY 02,Medical and travel assistance complimentary services,Telemedicine, medical provider referral
BEN-ISA-401,REMEDY_06,NGI Healthnet – Remedy 06,Medical expenses benefits,Emergency medical evacuation USD 50,000; emergency medical repatriation USD 50
BEN-ISA-402,REMEDY_06,NGI Healthnet – Remedy 06,Travel expenses benefits,Loss of passport/documents USD 500; luggage loss per kg up to 40kg USD 30; luggage delay over 4 hours USD 500; flight delay over 4 hours USD 500; trip cancellation per flight USD 500; trip curtailment USD 500. Curated from Remedy 04 extract.,
BEN-ISA-403,REMEDY_06,NGI Healthnet – Remedy 06,Medical and travel assistance complimentary services,Telemedicine, medical provider referral
